ID,Purpose,Purpose Code,Amount,Frequency
2454,C,3,15208,17.12
2455,C,3,24575,11.7
2456,C,3,13155,20.09
2457,A,1,48465,4.43
2458,B,2,817,4.22
2459,C,3,17608,16.56
2460,A,1,50161,4.8
2461,C,3,18528,12.36
2462,B,2,1739,4.34
2463,B,2,3943,2.16
2464,A,1,61914,5.39
2465,D,4,961,12.65
2466,A,1,46178,8.1
2467,C,3,15068,13.64
2468,A,1,52858,7.27
2469,A,1,44367,4.29
2470,C,3,20910,18.72
2471,A,1,46358,9.78
2472,B,2,199,3.46
2473,A,1,50596,9.95
2474,B,2,1691,2.93
2475,B,2,590,3.26
2476,D,4,174,11.08
2477,B,2,1471,2.35
2478,C,3,14639,11.99
2479,A,1,55954,8.23
2480,D,4,709,9.61
2481,D,4,896,8.74
2482,C,3,26737,17.51
2483,C,3,17939,12.95
2484,A,1,52512,10.85
2485,C,3,4305,14.26
2486,D,4,142,10.85
2487,B,2,2728,2.51
2488,A,1,49382,1.94
2489,D,4,739,10.75
2490,C,3,19675,20.62
2491,D,4,1269,12.59
2492,A,1,50347,4.93
2493,D,4,1766,9.4
2494,C,3,8900,17.11
2495,A,1,49773,7.87
2496,A,1,43807,5.32
2497,A,1,57240,5.94
2498,B,2,593,3.38
2499,A,1,47244,7.42
2500,B,2,156,4.62
2501,D,4,15,7.89
2502,A,1,50214,4.78
2503,A,1,47086,7.76
2504,D,4,382,3.19
2505,B,2,2981,2.34
2506,C,3,3933,16.76
2507,A,1,53803,6.85
2508,A,1,55344,4.22
2509,A,1,52537,6.12
2510,B,2,5728,2.68
2511,C,3,17368,14.78
2512,B,2,5671,2.48
2513,C,3,16883,16.4
2514,B,2,1076,3.04
2515,A,1,59108,8.7
2516,A,1,47648,8.17
2517,C,3,14505,13.63
2518,A,1,49096,9.42
2519,B,2,2643,4.37
2520,A,1,57774,5.86
2521,A,1,53058,4.09
2522,A,1,49942,3.62
2523,B,2,1671,2.4
2524,C,3,13382,15.67
2525,A,1,50027,8.5
2526,D,4,571,11.89
2527,B,2,4461,2.26
2528,B,2,2166,3.77
2529,B,2,3526,3.38
2530,D,4,815,7.93
2531,D,4,657,14.71
2532,D,4,1322,10.1
2533,B,2,5827,2.38
2534,C,3,11077,17.64
2535,B,2,4643,3.79
2536,B,2,1342,1.84
2537,A,1,50413,5.39
2538,A,1,45914,7.31
2539,B,2,3170,1.47
2540,D,4,1167,10.83
2541,A,1,55518,6.73
2542,A,1,50623,12
2543,A,1,53046,8.82
2544,A,1,50799,8.46
2545,C,3,15936,18.98
2546,D,4,573,9.74
2547,D,4,92,10.35
2548,C,3,11943,16.99
2549,B,2,3075,5.55
2550,C,3,16711,19.08
2551,B,2,1628,3.16
2552,D,4,598,8.08
2553,C,3,15265,14.8
2554,B,2,149,2.63
2555,B,2,726,2.95
2556,A,1,42854,5.21
2557,A,1,52379,6.13
2558,C,3,13198,15.9
2559,D,4,847,11.69
2560,B,2,2768,3.11
2561,A,1,55676,4.54
2562,B,2,5658,2.07
2563,D,4,241,8.54
2564,B,2,3794,3.76
2565,D,4,930,9.41
2566,C,3,16106,15.11
2567,C,3,15041,19.31
2568,C,3,12490,15.35
2569,D,4,849,9.38
2570,C,3,19438,17.71
2571,C,3,9577,19.8
2572,B,2,2067,3.87
2573,C,3,16871,17.52
2574,D,4,968,10.35
2575,A,1,51838,4.5
2576,C,3,14105,18.95
2577,B,2,756,2.72
2578,C,3,13093,11.59
2579,A,1,46957,6.5
2580,C,3,9103,14.37
2581,A,1,46998,1.46
2582,B,2,1025,1.85
2583,C,3,8198,14
2584,B,2,901,2.51
2585,D,4,1069,11.9
2586,D,4,1141,11.38
2587,A,1,49779,3.77
2588,D,4,1652,11.06
2589,A,1,50289,3.7
2590,B,2,1646,2.9
2591,B,2,611,4.18
2592,B,2,2474,3.22
2593,D,4,568,13.73
2594,B,2,5265,2.91
2595,C,3,4365,17.13
2596,A,1,50229,5.53
2597,C,3,20371,16.63
2598,C,3,21904,17.31
2599,C,3,19908,15.41
2600,C,3,12276,13.1
2601,A,1,48226,5.62
2602,B,2,3803,1.5
2603,A,1,52630,5.13
2604,C,3,15636,16.8
2605,B,2,1101,3.31
2606,D,4,1606,10.02
2607,C,3,14091,12.17
2608,A,1,50415,9.18
2609,B,2,556,3.36
2610,B,2,7131,4.63
2611,A,1,52431,7.27
2612,B,2,4145,4.29
2613,D,4,974,8.84
2614,C,3,23543,24.01
2615,C,3,11502,12.28
2616,C,3,13421,17.77
2617,C,3,19307,15.23
2618,A,1,52127,7.45
2619,D,4,41,8.19
2620,D,4,1438,10.35
2621,D,4,1479,9.38
2622,D,4,1379,9.33
2623,A,1,46263,6.06
2624,C,3,7155,17.9
2625,C,3,13375,14.99
2626,B,2,2925,3.6
2627,C,3,3386,17.26
2628,A,1,47747,4.72
2629,D,4,1150,10.64
2630,C,3,23747,16.64
2631,C,3,15242,13.87
2632,C,3,8466,17.06
2633,B,2,203,3.19
2634,C,3,17067,18.35
2635,A,1,54526,9.83
2636,C,3,20849,15.73
2637,A,1,46492,4.79
2638,C,3,14601,17
2639,B,2,240,4.3
2640,B,2,626,3.34
2641,C,3,10646,14.14
2642,A,1,47124,5.39
2643,D,4,971,8.49
2644,B,2,1116,2.71
2645,D,4,393,7.5
2646,B,2,311,5.06
2647,D,4,2291,9.21
2648,D,4,555,12.13
2649,C,3,5577,19.67
2650,D,4,402,9.05
2651,A,1,52445,5.47
2652,A,1,51560,7.31
2653,C,3,18199,15.07
2654,D,4,1487,9.63
2655,A,1,48062,6.57
2656,B,2,855,2.09
2657,A,1,56094,9.76
2658,B,2,2231,3.77
2659,C,3,17619,12.69
2660,C,3,14184,13.83
2661,D,4,821,10.79
2662,B,2,13,2.79
2663,D,4,1174,11.67
2664,A,1,52480,4.5
2665,B,2,1274,1.94
2666,B,2,438,3.19
2667,D,4,1724,8.77
2668,C,3,8536,17.78
2669,A,1,50169,5.73
2670,C,3,9471,19.51
2671,D,4,1159,11.59
2672,C,3,5298,16.8
2673,B,2,838,2.84
2674,A,1,50169,5.39
2675,A,1,44320,7.02
2676,D,4,726,12.76
2677,D,4,292,8.09
2678,B,2,909,2.55
2679,C,3,9570,14.84
2680,D,4,217,8.74
2681,D,4,826,8.01
2682,C,3,19609,12.55
2683,B,2,2507,3.05
2684,B,2,2233,1.25
2685,D,4,1599,10.41
2686,D,4,533,11.03
2687,B,2,3358,3.16
2688,B,2,5735,4.06
2689,C,3,15332,16.96
2690,A,1,52272,3.13
2691,B,2,4428,0.94
2692,D,4,1127,11.66
2693,B,2,477,3.53
2694,A,1,55875,3.38
2695,D,4,146,10.59
2696,B,2,3296,3.04
2697,D,4,481,11.07
2698,B,2,2290,3.82
2699,D,4,1259,10.82
2700,C,3,13861,16.75
2701,D,4,1248,10.57
2702,D,4,1983,11.35
2703,D,4,1174,11.23
2704,D,4,927,8.82
2705,B,2,255,2.39
2706,C,3,17763,18.18
2707,A,1,53045,8.08
2708,A,1,51791,6.34
2709,B,2,1519,3.49
2710,A,1,45048,5.36
2711,D,4,1202,12.2
2712,D,4,1477,9.83
2713,D,4,1283,8.26
2714,A,1,49534,6.92
2715,B,2,1001,2.11
2716,B,2,3616,2.83
2717,B,2,215,3.04
2718,D,4,42,8
2719,B,2,1511,3.78
2720,B,2,2792,2.02
2721,D,4,862,12.61
2722,C,3,14932,16.95
2723,D,4,830,12.99
2724,C,3,21365,15.93
2725,D,4,755,10.64
2726,C,3,11351,12.28
2727,D,4,1092,9.3
2728,C,3,19879,12.42
2729,B,2,459,3.2
2730,D,4,82,5.85
2731,C,3,17327,16.17
2732,D,4,342,9.53
2733,C,3,21040,13.75
2734,A,1,47594,7.26
2735,B,2,362,4.27
2736,B,2,958,2.11
2737,C,3,12216,16.4
2738,B,2,4725,4.18
2739,D,4,684,11.15
2740,D,4,1069,10.01
2741,D,4,985,9.12
2742,A,1,49562,8.2
2743,A,1,52218,7.34
2744,B,2,2174,2.78
2745,D,4,59,7.88
2746,A,1,46951,4.98
2747,A,1,50462,10.39
2748,A,1,50942,4.66
2749,A,1,49065,7.35
2750,A,1,55381,3.67
2751,C,3,13852,20.81
2752,B,2,2866,3.79
2753,D,4,461,11.11
2754,A,1,46278,6.22
2755,A,1,50156,2.59
2756,A,1,52977,5.14
2757,C,3,12230,17.39
2758,D,4,767,4.5
2759,A,1,49863,10
2760,D,4,620,8.92
2761,A,1,46848,4.14
2762,C,3,8859,16.35
2763,C,3,17477,14.02
2764,B,2,177,3.52
2765,A,1,47989,4.8
2766,A,1,51191,7.42
2767,B,2,465,4.49
2768,C,3,8545,19.79
2769,C,3,9958,19.64
2770,B,2,2638,1.89
2771,A,1,54047,6.53
2772,B,2,3692,4.5
2773,B,2,3290,1.84
2774,B,2,2592,3.6
2775,A,1,54547,2.04
2776,D,4,487,6.45
2777,B,2,112,4.17
2778,A,1,54436,5.27
2779,D,4,275,9.51
2780,D,4,371,11.17
2781,C,3,14986,15.45
2782,B,2,3755,2.47
2783,B,2,1738,3.08
2784,B,2,6986,3.78
2785,A,1,46382,8.07
2786,B,2,1406,3.93
2787,A,1,52475,9.21
2788,B,2,6360,0.62
2789,B,2,2296,3.22
2790,A,1,52144,8.64
2791,C,3,16525,14.72
2792,B,2,3695,2.54
2793,B,2,2077,3.26
2794,D,4,867,10.3
2795,D,4,561,9.71
2796,B,2,576,4.51
2797,D,4,795,9.71
2798,A,1,52650,7
2799,C,3,14491,16.99
2800,B,2,1133,3.65
2801,A,1,45521,6.7
2802,C,3,9092,13.48
2803,D,4,1062,11.03
2804,C,3,9250,13.93
2805,B,2,2093,2.71
2806,B,2,3848,3.88
2807,B,2,4593,2.83
2808,D,4,280,7.25
2809,B,2,4357,4.27
2810,D,4,766,10.96
2811,B,2,2105,2.5
2812,B,2,2791,2.91
2813,B,2,1919,2.88
2814,C,3,17648,15.07
2815,B,2,2750,2.91
2816,A,1,42445,5.3
2817,D,4,569,6.72
2818,A,1,57358,10.89
2819,D,4,784,10.03
2820,C,2,1000,16
2821,C,3,11184,15.75
2822,B,2,1185,3.86
2823,D,4,1004,10.84
2824,B,2,510,1.8
2825,B,2,501,3.65
2826,B,2,1895,2.65
2827,A,1,60382,6.15
2828,A,1,54483,6.71
2829,B,2,4861,1.74
2830,A,1,51264,6.85
2831,C,3,16958,19.24
2832,B,2,1377,1.84
2833,B,2,1970,3.73
2834,A,1,52754,5.5
2835,C,3,23900,14.6
2836,D,4,230,12.56
2837,D,4,880,12.41
2838,A,1,53761,6.94
2839,A,1,48064,7.81
2840,C,3,24297,20.34
2841,B,2,3295,3.22
2842,B,2,3171,2.61
2843,D,4,1003,9.29
2844,A,1,46810,8.55
2845,D,4,847,12.66
2846,D,4,1257,9.89
2847,B,2,76,1.24
2848,A,1,57472,7.27
2849,B,2,1897,3.32
2850,C,3,17999,17.42
2851,B,2,4692,2.19
2852,A,1,50580,8.48
2853,B,2,194,2.88
2854,B,2,3801,1.69
2855,B,2,2793,2.85
2856,D,4,615,11.13
2857,A,1,50178,9.16
2858,A,1,49203,4.44
2859,D,4,1202,10.68
2860,C,3,21673,14.2
2861,B,2,1063,2.97
2862,A,1,55095,4.83
2863,C,3,14171,13.9
2864,C,3,6204,9.34
2865,A,1,49459,7.51
2866,C,3,23899,16.77
2867,A,1,53854,6.69
2868,C,3,14840,15.32
2869,B,2,681,2.74
2870,C,3,13716,14.98
2871,A,1,48076,10.1
2872,A,1,49993,9.29
2873,D,4,917,9.22
2874,A,1,46057,7.99
2875,D,4,1088,11.28
2876,D,4,286,8.25
2877,D,4,2125,11.63
2878,C,3,17378,15.06
2879,B,2,3953,2.93
2880,B,2,866,2.98
2881,B,2,2305,2.93
2882,A,1,48715,6
2883,C,3,13138,17.41
2884,A,1,49776,4.39
2885,D,4,907,11.5
2886,B,2,2247,1.98
2887,D,4,525,7.19
2888,B,2,2760,4.24
2889,C,3,16926,14.28
2890,B,2,3461,2.22
2891,A,1,49875,6.01
2892,A,1,56922,7.42
2893,D,4,600,10.74
2894,C,3,20933,16.25
2895,D,4,1555,12.31
2896,A,1,44110,5.11
2897,B,2,226,1.91
2898,D,4,1182,11.31
2899,A,1,54313,5.46
2900,C,3,20089,18.12
2901,B,2,4567,1.71
2902,B,2,1317,4.15
2903,B,2,1816,4.84
2904,C,3,22296,15.27
2905,A,1,55332,4.32
2906,D,4,751,11.18
2907,B,2,4605,2.62
2908,B,2,2955,3.56
2909,A,1,47945,9.48
2910,D,4,475,8.75
2911,C,3,12074,11.3
2912,C,3,20794,16.62
2913,D,4,1124,10.8
2914,A,1,47958,8.44
2915,C,3,23858,14.52
2916,C,3,11332,18.92
2917,C,3,7213,17.75
2918,B,2,2621,3.57
2919,D,4,184,12.1
2920,A,1,43854,6.57
2921,B,2,3391,2.84
2922,B,2,2431,2.68
2923,D,4,1174,9.21
2924,C,3,15768,13.62
2925,B,2,299,2.81
2926,B,2,218,3.1
2927,C,3,17828,12.88
2928,A,1,46193,5.44
2929,C,3,7740,10.81
2930,C,3,19979,12.69
2931,A,1,48875,5.76
2932,B,2,2953,2.68
2933,D,4,1422,7.76
2934,A,1,51416,4.75
2935,D,4,430,8.65
2936,D,4,683,7.57
2937,D,4,672,7.9
2938,D,4,1433,8.08
2939,D,4,1432,9.37
2940,A,1,52201,4.33
2941,C,3,17331,15.69
2942,D,4,1665,11.06
2943,B,2,1214,2.74
2944,B,2,4653,3.98
2945,B,2,3017,3.09
2946,A,1,46091,4.46
2947,A,1,48820,6.3
2948,A,1,50252,9.88
2949,C,3,2517,17.4
2950,D,4,961,9.39
2951,C,3,5963,12.21
2952,A,1,48140,5.06
2953,B,2,548,1.85
2954,B,2,546,2.31
2955,B,2,1263,2.29
2956,B,2,2617,3.52
2957,C,3,22872,13.34
2958,B,2,1194,3.87
2959,B,2,1780,3.35
2960,A,1,45724,9.33
2961,B,2,2325,3
2962,D,4,1087,14
2963,A,1,49706,2.15
2964,A,1,46046,3.64
2965,A,1,45002,4.5
2966,B,2,1531,2.47
2967,C,3,15317,18.41
2968,C,3,23162,16.34
2969,D,4,1374,10.44
2970,C,3,9596,15.47
2971,B,2,774,2.68
2972,C,3,9844,13.94
2973,B,2,4724,4
2974,C,3,13986,15.02
2975,B,2,3721,2.78
2976,A,1,49567,2.92
2977,B,2,2351,2.52
2978,D,4,218,9.56
2979,D,4,806,11.84
2980,D,4,1512,12.16
2981,B,2,2380,4.31
2982,D,4,451,12.21
2983,C,3,17978,14.98
2984,A,1,43980,6.96
2985,B,2,1614,3.32
2986,B,2,213,3.69
2987,C,3,14849,15.3
2988,C,3,11377,18.47
2989,C,3,11178,7.68
2990,C,3,11538,18.14
2991,B,2,3185,3.72
2992,B,2,980,1.19
2993,D,4,566,8.82
2994,A,1,55328,7.4
2995,A,1,54175,9.01
2996,A,1,56392,7.08
2997,C,3,16954,19.12
2998,C,3,13012,14.51
2999,B,2,2160,3.72
3000,D,4,1498,6.45
3001,C,3,17405,17.62
3002,C,3,15815,16.94
3003,D,4,627,13.17
3004,D,4,888,10.65
3005,B,2,389,2.2
3006,B,2,445,3.84
3007,C,3,15442,18.82
3008,B,2,3288,4.04
3009,A,1,52334,6.73
3010,B,2,2017,3.46
3011,D,4,550,4.76
3012,A,1,46627,5.81
3013,D,4,631,12.29
3014,D,4,1288,10.82
3015,C,3,15121,9.94
3016,A,1,49463,6.55
3017,C,3,21616,9.3
3018,A,1,50899,8.1
3019,C,3,11226,16.92
3020,A,1,54327,5.82
3021,C,3,7446,20.27
3022,A,1,47308,6.38
3023,B,2,4302,2.74
3024,D,4,1560,13.26
3025,D,4,182,13.92
3026,B,2,2093,1.64
3027,A,1,47805,8.32
3028,C,3,9664,20.91
3029,C,3,8324,16.7
3030,C,3,7547,21.84
3031,A,1,53819,7.83
3032,B,2,1890,0.55
3033,C,3,12750,15.86
3034,B,2,1173,3.32
3035,C,3,9163,15.31
3036,A,1,47187,7.3
3037,A,1,50145,8.11
3038,B,2,1633,1.2
3039,A,1,48476,6.63
3040,D,4,984,8.56
3041,D,4,1275,9.16
3042,C,3,6485,15.08
3043,B,2,2895,2.74
3044,C,3,9088,17.91
3045,C,3,7074,13.3
3046,C,3,7480,15.18
3047,B,2,1700,3.52
3048,A,1,45325,4.78
3049,D,4,100,9.05
3050,A,1,52508,7.26
3051,B,2,2664,3.93
3052,D,4,1026,8.7
3053,A,1,54883,7.41
3054,B,2,237,4.86
3055,D,4,870,9.32
3056,C,3,16128,18.68
3057,A,1,45218,6.13
3058,A,1,46536,8.16
3059,C,3,8783,17.19
3060,B,2,688,2.81
3061,A,1,43910,10.18
3062,B,2,3599,3.38
3063,C,3,22266,20.64
3064,C,3,8739,18.83
3065,A,1,54980,6.09
3066,C,3,18964,15.58
3067,A,1,46137,7.18
3068,C,3,18489,15.31
3069,C,3,20425,16.92
3070,B,2,3340,3.22
3071,B,2,5817,3.08
3072,B,2,2479,2.45
3073,C,3,19995,16.27
3074,D,4,1248,6.36
3075,A,1,49259,6.07
3076,A,1,46625,2.75
3077,C,3,12008,13.17
3078,D,4,821,9.54
3079,B,2,655,4.21
3080,A,1,49982,6.59
3081,D,4,1067,12.25
3082,D,4,885,12.38
3083,B,2,4551,3.89
3084,A,1,55084,11.18
3085,C,3,18433,14.88
3086,D,4,259,8.86
3087,B,2,2494,3.7
3088,B,2,2575,3.63
3089,C,3,25838,17.61
3090,D,4,909,7.64
3091,C,3,13324,19.29
3092,C,3,22290,14.79
3093,B,2,3440,2.89
3094,B,2,3593,3.96
3095,A,1,50084,5.46
3096,B,2,71,2.8
3097,D,4,673,8.41
3098,D,4,1216,11.11
3099,D,4,1096,8.1
3100,A,1,52748,7.39
3101,A,1,50570,5.93
3102,D,4,999,10.92
3103,D,4,1360,8.49
3104,C,3,23369,20.62
3105,A,1,48470,5.76
3106,C,3,25634,19.37
3107,A,1,46333,6.47
3108,C,3,11166,15.17
3109,B,2,539,2.94
3110,B,2,805,5.33
3111,B,2,3238,1.74
3112,C,3,13902,16.81
3113,A,1,51694,7.63
3114,A,1,51391,3.68
3115,B,2,1801,4.36
3116,A,1,51825,7.01
3117,C,3,11208,19.26
3118,D,4,1292,11.24
3119,B,2,501,4.06
3120,A,1,46032,6.02
3121,B,2,244,4.8
3122,B,2,2431,0.31
3123,D,4,1081,12.23
3124,D,4,969,7.37
3125,A,1,49549,8.22
3126,D,4,1349,12.75
3127,D,4,959,10.94
3128,C,3,7343,18.7
3129,D,4,500,11.22
3130,D,4,1375,12.37
3131,A,1,46284,8.41
3132,A,1,44315,6.68
3133,A,1,46619,5.69
3134,B,2,3957,1.37
3135,D,4,1088,8.07
3136,C,3,13330,14.53
3137,C,3,10309,14.14
3138,B,2,4536,3.72
3139,D,4,920,12.14
3140,D,4,712,10.04
3141,B,2,2116,3.35
3142,C,3,17019,12.75
3143,B,2,1298,3.4
3144,D,4,870,12.65
3145,A,1,53241,6.48
3146,D,4,797,10.67
3147,C,3,11608,10.77
3148,B,2,488,2.71
3149,D,4,771,10.05
3150,A,1,53518,4.84
3151,C,3,18849,14.8
3152,D,4,318,11
3153,D,4,519,8.64
3154,C,3,16325,15.68
3155,A,1,46514,6.05
3156,C,3,10797,20.53
3157,A,1,50540,3.36
3158,C,3,17738,13.22
3159,A,1,44769,5.46
3160,A,1,47166,7.27
3161,D,4,733,9.47
3162,C,3,17465,16.1
3163,A,1,52056,6.2
3164,C,3,12971,10.96
3165,A,1,44846,5.4
3166,A,1,52996,4.74
3167,B,2,2436,4.25
3168,D,4,1640,9.67
3169,B,2,3809,2.53
3170,D,4,1822,12.33
3171,D,4,367,9.33
3172,B,2,2998,4.87
3173,A,1,50501,1.94
3174,B,2,3942,2.94
3175,B,2,2331,3.13
3176,D,4,917,7.53
3177,A,1,52354,11.13
3178,C,3,12495,17.37
3179,D,4,665,5.76
3180,B,2,6895,2.51
3181,D,4,836,11.33
3182,C,3,17977,19.1
3183,B,2,1289,3.05
3184,D,4,1767,6.11
3185,A,1,48794,5.47
3186,D,4,841,5.72
3187,B,2,1680,3.34
3188,A,1,43972,11.35
3189,B,2,5490,3.15
3190,D,4,404,7.3
3191,D,4,1688,11.4
3192,A,1,53251,8.54
3193,A,1,53765,9.97
3194,B,2,2023,3.77
3195,C,3,18201,14.02
3196,B,2,1083,3.66
3197,C,3,16893,16.7
3198,D,4,741,8.5
3199,B,2,1089,3.34
3200,D,4,977,10.17
3201,C,3,15679,16.33
3202,D,4,1169,8.9
3203,B,2,3334,2.27
3204,D,4,370,9.52
3205,B,2,458,3.29
3206,B,2,1048,2.5
3207,B,2,3798,1.97
3208,D,4,815,9.19
3209,C,3,21877,15.32
3210,A,1,53579,6.61
3211,C,3,18990,12.82
3212,B,2,4910,4.27
3213,A,1,46739,3.18
3214,D,4,273,10.63
3215,B,2,2651,2.63
3216,D,4,7,11.66
3217,D,4,1559,8.9
3218,A,1,49826,6.92
3219,A,1,53906,5.77
3220,B,2,5261,3.35
3221,B,2,346,1.93
3222,D,4,509,11.88
3223,D,4,758,10.31
3224,A,1,48551,9.2
3225,B,2,3863,4.25
3226,A,1,52786,5.97
3227,C,3,18767,19.25
3228,D,4,898,7.66
3229,B,2,4847,3.22
3230,A,1,48750,6.44
3231,B,2,2171,1.67
3232,C,3,19171,21.04
3233,A,1,53621,1.5
3234,A,1,42450,7.3
3235,A,1,44996,7.11
3236,B,2,4182,3.89
3237,D,4,1290,7.16
3238,A,1,49249,7.15
3239,B,2,422,3.77
3240,A,1,43339,4.09
3241,C,3,14545,16.85
3242,B,2,3120,2.71
3243,A,1,52901,8.71
3244,B,2,2060,2.3
3245,D,4,540,7.71
3246,C,3,6701,20.15
3247,D,4,244,9.5
3248,D,4,625,8.66
3249,C,3,15774,17.06
3250,C,3,10586,15.09
3251,D,4,725,9.47
3252,B,2,4553,2.07
3253,B,2,3999,2.32
3254,A,1,54129,6.04
3255,D,4,232,10.74
3256,B,2,1098,3.01
3257,B,2,1255,3.84
3258,B,2,1774,3.28
3259,A,1,45851,6.17
3260,C,3,14406,16.09
3261,D,4,138,12.17
3262,B,2,2504,2.46
3263,C,3,11401,14.53
3264,C,3,632,15.79
3265,A,1,46825,7.16
3266,A,1,45454,9.95
3267,B,2,1828,3.94
3268,C,3,20704,14.83
3269,C,3,15325,14.69
3270,D,4,1086,9.74
3271,C,3,12406,15.88
3272,A,1,48445,2.85
3273,A,1,49667,5.59
3274,A,1,47761,4.77
3275,B,2,233,3.09
3276,D,4,320,10.92
3277,D,4,319,9.72
3278,A,1,49560,3.12
3279,A,1,48654,5.55
3280,A,1,51636,4.34
3281,D,4,869,10.69
3282,D,4,1390,8.68
3283,A,1,54674,6.8
3284,A,1,45600,6.8
3285,D,4,322,9.27
3286,B,2,331,3.8
3287,A,1,48167,5.48
3288,B,2,1836,4.1
3289,A,1,52716,7.57
3290,A,1,49976,5.71
3291,A,1,55316,7.25
3292,C,3,22158,16.44
3293,C,3,17478,16.5
3294,B,2,2926,2.99
3295,C,3,16248,18.93
3296,D,4,1210,8.67
3297,D,4,550,8.48
3298,B,2,471,2.72
3299,B,2,663,3.01
3300,D,4,805,7.83
3301,C,3,11944,18.05
3302,A,1,46768,4.05
3303,B,2,816,2.09
3304,B,2,1295,4.06
3305,C,3,12017,18.91
3306,A,1,55600,7.48
3307,B,2,696,3.77
3308,A,1,49432,5.39
3309,B,2,3565,4.01
3310,A,1,55844,6.73
3311,A,1,51403,8.24
3312,D,4,98,13.44
3313,D,4,871,13.17
3314,B,2,1441,3.07
3315,D,4,1181,11.39
3316,C,3,12841,13.16
3317,D,4,875,8.87
3318,B,2,535,2.57
3319,B,2,1570,4.62
3320,C,3,21220,17.64
3321,A,1,47004,9.44
3322,B,2,4376,3.09
3323,A,1,46906,4.1
3324,D,4,1081,9.38
3325,D,4,494,14.9
3326,A,1,41496,8.78
3327,B,2,3732,3.19
3328,D,4,68,10.34
3329,C,3,13004,21.92
3330,A,1,45655,5.51
3331,B,2,2498,3.5
3332,A,1,44636,5.5
3333,C,3,21273,17.61
3334,D,4,395,9.68
3335,D,4,1210,9.26
3336,A,1,47063,8.87
3337,D,4,3,10.56
3338,A,1,49610,7.1
3339,B,2,8071,4.38
3340,B,2,3776,3.32
3341,A,1,54431,4.1
3342,C,3,7966,18.85
3343,A,1,46269,5.03
3344,C,3,20210,11.33
3345,C,3,7692,19.8
3346,A,1,50094,3.81
3347,A,1,52964,9.95
3348,D,4,546,11.54
3349,B,2,1596,3.05
3350,D,4,1749,8.97
3351,C,3,14159,17.77
3352,D,4,1103,10.81
3353,C,3,7835,15.57
3354,A,1,46332,8.21
3355,D,4,1418,11.58
3356,A,1,48993,3.95
3357,A,1,52797,6.8
3358,B,2,263,4.97
3359,D,4,726,13.02
3360,B,2,1562,1.69
3361,A,1,48412,5.31
3362,C,3,7585,16.84
3363,B,2,3060,5.08
3364,C,3,18784,12.11
3365,A,1,50270,5.81
3366,A,1,49084,8.3
3367,D,4,585,9.84
3368,A,1,49182,7.07
3369,B,2,923,2.34
3370,C,3,18644,16.87
3371,B,2,94,4.08
3372,C,3,13720,21.89
3373,A,1,47887,9.22
3374,C,3,15366,17.22
3375,D,4,1066,7.71
3376,B,2,2495,4.06
3377,C,3,16431,18.89
3378,A,1,53786,4.03
3379,C,3,18334,13.61
3380,B,2,1359,1.68
3381,A,1,48636,3.26
3382,A,1,54213,9.08
3383,A,1,43960,8.53
3384,C,3,19333,15.84
3385,D,4,547,4.32
3386,A,1,50706,7.45
3387,A,1,48520,4.06
3388,A,1,51907,5.29
3389,D,4,1433,11.23
3390,A,1,47804,7.14
3391,C,3,1161,14.85
3392,A,1,48317,6.85
3393,A,1,50211,8.17
3394,C,3,12043,16.3
3395,B,2,1669,3.27
3396,A,1,51624,5.05
3397,A,1,51284,7.86
3398,D,4,599,7.81
3399,D,4,1126,10.13
3400,D,4,753,11
3401,D,4,1605,10.15
3402,C,3,9911,14.58
3403,D,4,897,7.66
3404,B,2,2452,3.82
3405,A,1,52225,5.9
3406,A,1,47002,4.86
3407,B,2,731,3.76
3408,A,1,52696,3.77
3409,D,4,1176,6.44
3410,A,1,50425,5.07
3411,B,2,15,3.97
3412,B,2,1953,2.07
3413,B,2,4960,3.89
3414,D,4,1369,13.76
3415,C,3,19993,15.55
3416,D,4,1718,13.99
3417,B,2,3546,4.13
3418,B,2,1843,2.45
3419,D,4,27,11.09
3420,A,1,47876,3.52
3421,D,4,1296,8.91
3422,D,4,785,11.13
3423,A,1,48456,3.78
3424,A,1,50212,5.98
3425,A,1,52005,6.22
3426,C,3,17380,19.25
3427,A,1,43174,6.41
3428,C,3,9877,16.95
3429,C,3,14602,15.02
3430,D,4,1092,5.09
3431,B,2,1041,3.77
3432,A,1,50832,3.65
3433,A,1,45364,4.43
3434,B,2,3741,3.95
3435,C,3,23176,14.47
3436,D,4,290,9.41
3437,D,4,527,10.95
3438,C,3,12764,14.5
3439,A,1,43337,9.76
3440,C,3,13696,17.07
3441,A,1,43347,5.19
3442,C,3,9821,16.4
3443,A,1,46149,3.96
3444,B,2,1328,3.84
3445,C,3,18721,12.8
3446,B,2,381,2.25
3447,D,4,1273,7.4
3448,C,3,21448,18.44
3449,C,3,24154,18.1
3450,B,2,3266,1.63
3451,C,3,19134,15.55
3452,A,1,47350,7.89
3453,B,2,669,2.83
3454,C,3,11829,16.03
3455,D,4,567,10.6
3456,B,2,5498,3.42
3457,D,4,435,8.21
3458,A,1,49280,4.16
3459,B,2,1943,0.4
3460,B,2,2283,3.41
3461,A,1,49301,7.59
3462,B,2,4416,2.53
3463,A,1,55705,6.46
3464,D,4,1082,14.64
3465,A,1,47609,5.63
3466,C,3,17390,17.49
3467,C,3,10233,19.01
3468,C,3,23831,18.24
3469,D,4,1165,11.62
